roma_sum_cs,CS_ha,Annual
24076,58.9862,19.1464000881
18120,44.394,18.9718234555
8644,21.1778,18.9829315677
23934,58.6383,19.1466855273
20205,49.50225,19.220050537
12813,31.39185,19.1127947406
12876,31.5462,18.9812023917
9302,22.7899,19.0192562369
30069,73.66905,19.2686514095
23742,58.1679,19.4081357306
19880,48.706,19.327273673
13468,32.9966,19.2718589041
14052,34.4274,19.3949048536
19179,46.98855,19.5111091665
20345,49.84525,19.5338565096
26409,64.70205,19.5316817551
23810,58.3345,19.5845743599
24302,59.5399,19.5980755876
26671,65.34395,19.6400812997
17223,42.19635,19.4960691117
20216,49.5292,19.0011894018
2281,5.58845,18.0817930798
3205,7.85225,17.9619805242
2973,7.28385,17.9907979882
1139,2.79055,17.9529422428
820,2.009,17.9073695691
442,1.0829,17.3395749061
1784,4.3708,17.3813937856
1882,4.6109,17.6067244199
49,0.12005,17.5687751396
1358,3.3271,17.6679528649
2988,7.3206,17.8543782801
3333,8.16585,17.7604850099
7369,18.05405,17.8462103342
14402,35.2849,18.1325072631
18201,44.59245,18.4719070044
15934,39.0383,18.8090600399
13844,33.9178,19.0704555359
17757,43.50465,19.2936728942
30156,73.8822,19.3087382619
8941,21.90545,19.1401754152
27651,67.74495,19.170839425
13264,32.4968,19.3835176985
28080,68.796,19.5722463544
22236,54.4782,19.5581620417
28324,69.3938,19.4461212794
28239,69.18555,19.4603735568
28094,68.8303,19.55791423
28954,70.9373,19.6523497713
29868,73.1766,19.709089678
15147,37.11015,19.7402991453
20951,51.32995,19.7480289399
14347,35.15015,19.7126381392
20026,49.0637,19.5326701201
13892,34.0354,19.2795999969
12118,29.6891,19.3130805011
13475,33.01375,19.4419801507
9042,22.1529,19.2592345882
10691,26.19295,18.9529175101
12822,31.4139,18.8181842882
5443,13.33535,18.7393753729
7740,18.963,18.6904232704
12484,30.5858,18.4778034094
14333,35.11585,18.3073347531
10678,26.1611,18.3016626603
5236,12.8282,18.2878451839
3080,7.546,18.2591594076
11469,28.09905,18.164785247
2781,6.81345,18.0911503552
4590,11.2455,18.0924172711
1297,3.17765,18.1695603492
3880,9.506,18.2037407923
1641,4.02045,18.0819345807
1320,3.234,17.9443409807
1246,3.0527,17.2624746194
1370,3.3565,17.251553137
2792,6.8404,17.3025272081
1904,4.6648,17.38846435
782,1.9159,17.5137679703
3801,9.31245,17.6228716356
3034,7.4333,17.809132249
4905,12.01725,17.9087125131
12990,31.8255,17.9970507432
12504,30.6348,18.0775265688
8270,20.2615,18.3979821281
18553,45.45485,18.9483450714
19807,48.52715,19.2400701005
19567,47.93915,19.4593724462
32492,79.6054,19.4541115141
6944,17.0128,19.358529132
24311,59.56195,19.4165756673
32094,78.6303,19.7235302332
36079,88.39355,19.9123636649
29443,72.13535,19.9199383341
12676,31.0562,19.8739705634
28124,68.9038,19.9789827935
32907,80.62215,20.1469671943
29444,72.1378,20.1575372057
37374,91.5663,20.1234424202
27233,66.72085,20.1200697725
30022,73.5539,20.0668397623
23053,56.47985,19.9779716084
23984,58.7608,19.8392335339
14904,36.5148,19.7425945841
23933,58.63585,19.7548949772
20613,50.50185,19.6303618187
24537,60.11565,19.2513443498
11655,28.55475,18.7629591875
5357,13.12465,18.6307327279
6145,15.05525,18.8221300141
19201,47.04245,19.0430639888
14542,35.6279,18.9527692729
13645,33.43025,18.6650448905
16112,39.4744,18.5019909282
5285,12.94825,18.4035921802
8031,19.67595,18.2990211239
6690,16.3905,18.3636131026
10584,25.9308,18.4117329716
4907,12.02215,18.2211287065
955,2.33975,18.1061951989
4232,10.3684,17.9131018284
3708,9.0846,17.6049441914
1352,3.3124,17.4980540092
407,0.99715,17.2770835469
1242,3.0429,17.1579334835
2780,6.811,17.1087629423
555,1.35975,17.1262906498
1461,3.57945,17.2657926601
3214,7.8743,17.5314534132
7426,18.1937,17.7546654062
2778,6.8061,17.9431718626
6371,15.60895,18.0576054318
1736,4.2532,18.1830878646
5027,12.31615,18.3949041507
19453,47.65985,18.7489066014
15665,38.37925,18.948477447
12873,31.53885,19.2090144934
28229,69.16105,19.5077401738
27342,66.9879,19.483190602
24896,60.9952,19.4453676526
22043,54.00535,19.4931682036
28095,68.83275,19.7081508191
38045,93.21025,20.0049155139
40517,99.26665,20.1826595067
39318,96.3291,20.3028896761
38772,94.9914,20.4578632479
34889,85.47805,20.4979743262
27297,66.87765,20.4935162224
31150,76.3175,20.3502969429
18382,45.0359,20.1498900697
22082,54.1009,20.0563303625
24395,59.76775,20.0514790917
21926,53.7187,20.0816542491
27844,68.2178,19.9631426891
22775,55.79875,19.7230763373
22587,55.33815,19.253029713
3740,9.163,18.8828639293
1478,3.6211,18.714707362
797,1.95265,18.7863254685
9537,23.36565,18.9436094932
11916,29.1942,19.0138516289
17342,42.4879,18.8028977358
16396,40.1702,18.5233060148
14961,36.65445,18.2334089163
5885,14.41825,17.9926774917
2819,6.90655,17.9772556793
4204,10.2998,18.1977742721
899,2.20255,18.2032117587
378,0.9261,17.0469716927
323,0.79135,17.7917396255
281,0.68845,17.6201708933
708,1.7346,17.4636539399
300,0.735,17.3790774479
967,2.36915,17.3040536638
776,1.9012,17.2325440504
927,2.27115,17.2686487881
1017,2.49165,17.4937983815
2812,6.8894,17.7397475727
2905,7.11725,17.9325978642
923,2.26135,18.1311930902
4080,9.996,18.2531472813
7090,17.3705,18.358946197
13168,32.2616,18.4873501931
4608,11.2896,18.6240681465
17931,43.93095,18.8786108768
20246,49.6027,19.1134669741
12117,29.68665,19.1320168176
14410,35.3045,19.1046651016
8820,21.609,19.223087068
17425,42.69125,19.4621726458
34332,84.1134,19.7995203788
26817,65.70165,19.9718313278
26419,64.72655,19.9522598497
35642,87.3229,20.1329466093
37226,91.2037,20.3400484284
38282,93.7909,20.4652544188
35854,87.8423,20.3095343661
25870,63.3815,20.2163902009
32378,79.3261,20.188679759
31728,77.7336,20.0684714725
22243,54.49535,19.8210059136
22037,53.99065,19.5962350307
21272,52.1164,19.5907730263
29312,71.8144,19.4125789333
11081,27.14845,19.1477387914
8668,21.2366,18.8813336774
4937,12.09565,18.7821262214
5930,14.5285,18.8931238038
13048,31.9676,19.0400937259
18916,46.3442,18.8642394146
9287,22.75315,18.5226121561
234,0.5733,17.7787486756
391,0.95795,17.7528821566
529,1.29605,16.9641898054
332,0.8134,16.7343985612
98,0.2401,16.6359697206
1474,3.6113,17.8502010703
397,0.97265,17.8043024629
158,0.3871,17.7369925917
314,0.7693,17.438098314
55,0.13475,17.1642297524
77,0.18865,17.1587779987
1004,2.4598,17.3820544919
3541,8.67545,17.728028237
7262,17.7919,18.122706295
24933,61.08585,18.3404568011
22814,55.8943,18.2585605975
7177,17.58365,18.1083642132
11780,28.861,18.0803304234
11924,29.2138,18.2294953563
6400,15.68,18.5248949899
23439,57.42555,18.784229176
18472,45.2564,18.9814261415
12544,30.7328,19.2177524741
24239,59.38555,19.4976950723
31338,76.7781,19.7891829969
29822,73.0639,20.0066846838
28104,68.8548,20.0319815565
14708,36.0346,19.8397172318
31893,78.13785,19.6773366041
38879,95.25355,19.7485441736
38400,94.08,19.8801737517
32190,78.8655,20.0446968717
23555,57.70975,20.067781667
27996,68.5902,20.1143017834
38029,93.17105,20.0704499363
26350,64.5575,19.8957265426
8416,20.6192,19.6978370305
9228,22.6086,19.7199765004
22302,54.6399,19.7617045284
16951,41.52995,19.5632475587
5383,13.18835,19.3719638673
12133,29.72585,19.1051838263
7436,18.2182,18.9123104811
9249,22.66005,19.0721407117
16076,39.3862,18.9830017385
9936,24.3432,18.7228957912
10809,26.48205,18.4493509381
1655,4.05475,16.7865855953
889,2.17805,16.5822905849
912,2.2344,17.9828677229
747,1.83015,18.0776090165
646,1.5827,17.7688803138
413,1.01185,17.3166973825
1395,3.41775,17.2302827448
3814,9.3443,17.4936688175
2771,6.78895,17.86358398
12219,29.93655,18.080597658
12813,31.39185,18.14963216
12103,29.65235,18.0739195578
11141,27.29545,18.0392808142
4389,10.75305,17.8599897848
4140,10.143,17.9244652262
12371,30.30895,18.1836475202
14838,36.3531,18.4874813971
5228,12.8086,18.9290403359
21021,51.50145,19.3336801573
30338,74.3281,19.6710049998
31906,78.1697,19.8091606922
32366,79.2967,19.9413987292
37136,90.9832,19.9311637567
26652,65.2974,19.5951999456
10496,25.7152,19.0409089631
17827,43.67615,18.74280355
24225,59.35125,18.9479729438
25916,63.4942,19.4891927903
27972,68.5314,19.8348561675
11713,28.69685,19.942651447
16182,39.6459,19.9846912018
29003,71.05735,20.034261157
30540,74.823,20.0906082246
24746,60.6277,20.0824474715
18017,44.14165,20.0201390763
31923,78.21135,19.9473448043
21606,52.9347,19.807156011
27504,67.3848,19.5846468033
21884,53.6158,19.3978248004
15383,37.68835,19.3448109021
26536,65.0132,19.2845405046
24806,60.7747,19.0665727855
13892,34.0354,18.8957692073
236,0.5782,18.0153655674
88,0.2156,18.1534052144
17,0.04165,18.0908461492
390,0.9555,17.7635156836
32,0.0784,17.6833574421
13622,33.3739,18.0251324224
23101,56.59745,18.3952976224
35486,86.9407,18.4266079763
16250,39.8125,18.1641517891
20229,49.56105,18.0666778893
21778,53.3561,18.0186295734
3920,9.604,17.7355578751
4566,11.1867,17.745027178
6529,15.99605,18.1415718483
17567,43.03915,18.7149097738
10035,24.58575,19.1555824758
20632,50.5484,19.5321085901
27944,68.4628,19.7086315649
22420,54.929,19.7144560419
26794,65.6453,19.8225744349
25827,63.27615,19.6353025894
25345,62.09525,19.098888678
17846,43.7227,18.4433284835
4077,9.98865,18.0529777
2847,6.97515,18.1613612189
15211,37.26695,18.6344092068
20383,49.93835,19.1627212429
32822,80.4139,19.4597192701
33334,81.6683,19.6889085929
20065,49.15925,19.876080325
22549,55.24505,20.0077695541
28203,69.09735,20.0032828432
16302,39.9399,19.7845784835
22418,54.9241,19.578424075
17308,42.4046,19.3469642422
18471,45.25395,19.2224506579
15989,39.17305,19.1973906555
20364,49.8918,19.1746824393
19909,48.77705,19.1152610961
20039,49.09555,19.0339715475
5598,13.7151,18.8905536344
7057,17.28965,18.7010869086
561,1.37445,18.2043851683
1779,4.35855,18.2650907651
1403,3.43735,18.2429983881
4177,10.23365,18.1668649488
5045,12.36025,18.2015119396
16401,40.18245,18.3082007704
21774,53.3463,18.3108295612
8284,20.2958,18.1765761593
9558,23.4171,18.0757279015
4657,11.40965,18.0194000694
4796,11.7502,17.9652616584
1141,2.79545,17.8244463188
5818,14.2541,18.0018773898
13581,33.27345,18.6248374709
18861,46.20945,19.155391527
16994,41.6353,19.3915035519
15166,37.1567,19.6124522979
24621,60.32145,19.6621563156
16723,40.97135,19.6397457921
23860,58.457,19.4047139048
12707,31.13215,18.9144623679
2589,6.34305,18.4427650322
4908,12.0246,18.203771391
4560,11.172,18.1639680331
3185,7.80325,18.3788204753
15171,37.16895,18.5526934792
6009,14.72205,18.7621413778
10231,25.06595,19.2124229611
15029,36.82105,19.6767987624
22805,55.87225,19.8534388937
29116,71.3342,19.6955021368
16125,39.50625,19.4033483749
16114,39.4793,19.004998688
16361,40.08445,18.7071838919
3119,7.64155,18.6848268809
5778,14.1561,18.7042912168
3838,9.4031,18.5514303587
6049,14.82005,18.402937425
3806,9.3247,18.3097425823
2955,7.23975,18.3930382647
2063,5.05435,18.3368481266
11798,28.9051,18.3245927519
13507,33.09215,18.3456775051
10100,24.745,18.2767146499
7757,19.00465,18.1914076323
11590,28.3955,18.1623768087
8512,20.8544,18.1700222813
9464,23.1868,18.2455354766
10498,25.7201,18.3173415008
9031,22.12595,18.3042448268
4673,11.44885,18.2686510815
10000,24.5,18.4132080334
11487,28.14315,18.8276408335
16446,40.2927,19.2062518978
15659,38.36455,19.5650193292
19846,48.6227,19.6503195288
25473,62.40885,19.5350523411
12246,30.0027,19.3833187837
15432,37.8084,19.1081635178
15893,38.93785,18.8300891719
13627,33.38615,18.4369780186
2790,6.8355,18.1181781611
6243,15.29535,18.0793734302
11817,28.95165,18.2218427847
19160,46.942,18.5289571384
10383,25.43835,18.9509122901
24518,60.0691,19.3711921531
21011,51.47695,19.479654207
25543,62.58035,19.3482720423
7978,19.5461,19.1224948221
14002,34.3049,18.8636552519
9031,22.12595,18.7611419441
4194,10.2753,18.7547498922
2208,5.4096,17.7615937313
6743,16.52035,18.4131561844
11878,29.1011,18.3607558292
8040,19.698,18.3503348516
6700,16.415,18.2453244255
4862,11.9119,18.1996673742
6681,16.36845,18.1940542529
8507,20.84215,18.1819999485
30861,75.60945,18.2411936525
11650,28.5425,18.4098690536
22196,54.3802,18.5427558948
12424,30.4388,18.4834673958
7546,18.4877,18.4243648551
9393,23.01285,18.6853867475
11597,28.41265,19.0917639217
21757,53.30465,19.3501196534
17101,41.89745,19.457051118
19656,48.1572,19.4324856847
23208,56.8596,19.1599782576
13172,32.2714,18.7415009747
13477,33.01865,18.4241756635
9433,23.11085,18.1215224359
4416,10.8192,17.9339289999
2322,5.6889,17.9153048152
1421,3.48145,18.0459293004
15063,36.90435,18.3614329694
8428,20.6486,18.6519590824
18689,45.78805,19.0801905036
6141,15.04545,19.2061528621
7593,18.60285,19.2716654249
24282,59.4909,19.2492008969
10357,25.37465,19.0317665458
7345,17.99525,18.7570972503
4502,11.0299,18.4216966796
8729,21.38605,18.2362974296
10252,25.1174,18.0556429669
8318,20.3791,17.8126694373
6584,16.1308,17.7048081609
2088,5.1156,17.6983051245
3679,9.01355,17.7531324974
2980,7.301,17.8893525313
4798,11.7551,17.9651974621
5424,13.2888,18.0563921221
8394,20.5653,18.3919124869
17141,41.99545,18.8447228782
